engine_id,aircraft_id,DEGT,GWFM,GPCN25,engine_family,engine_type,problem_name,main_id
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-6.76062012,-0.0466939993,-0.0189510006,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),22837
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-8.75109863,-1.00986397,-0.098236002,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),60205
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-2.12817407,-0.748229027,-0.0650089979,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),1695
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-1.95190406,-0.699055016,-0.0880379975,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),91974
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.4752202,0.797170997,0.137854993,CF34-8E,CF34-8E5,-1pt FAN efficiency,49984
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,3.963135,0.620056987,0.0425439999,CF34-8E,CF34-8E5,-1pt FAN efficiency,20026
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.76367188,1.20038295,0.29212901,CF34-8E,CF34-8E5,-1pt FAN efficiency,42540
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.4752202,0.797170997,0.137854993,CF34-8E,CF34-8E5,-1pt LPT efficiency,49984
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,3.963135,0.620056987,0.0425439999,CF34-8E,CF34-8E5,-1pt LPT efficiency,20026
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.76367188,1.20038295,0.29212901,CF34-8E,CF34-8E5,-1pt LPT efficiency,42540
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,1.97741699,0.299125999,0.204488993,CF34-8E,CF34-8E5,VSV closed 2,5136
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,6.9277339,0.376780003,0.0958919972,CF34-8E,CF34-8E5,VBV open 10,43645
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,5.799438,0.712095022,0.045194,CF34-8E,CF34-8E5,VBV open 10,40510
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,10.9558105,0.300969005,0.0429380015,CF34-8E,CF34-8E5,VBV open 10,29865
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,5.78930712,0.364838004,0.0647350028,CF34-8E,CF34-8E5,VBV open 10,94886
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,4.80627394,0.376354992,0.0864249989,CF34-8E,CF34-8E5,VBV open 10,18061
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,4.76171923,0.804252982,0.0365159996,CF34-8E,CF34-8E5,VBV open 10,62071
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,7.67028809,0.436383009,0.0646200031,CF34-8E,CF34-8E5,VBV open 10,7254
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,10.5291748,0.820389986,0.0963400006,CF34-8E,CF34-8E5,VBV open 10,8729
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,9.70324707,0.897732019,0.00958499964,CF34-8E,CF34-8E5,VBV open 10,78949
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,9.90112305,0.284853995,0.0957349986,CF34-8E,CF34-8E5,VBV open 10,12529
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,6.9277339,0.376780003,0.0958919972,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),43645
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,7.76403809,0.254166991,0.178792998,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),74928
5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,e8212b638378823bae27aae066d415989bc85730398b72a2d474d346d7748e7c,2.92150903,1.05280697,0.166657999,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),17736
